Rk,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
342,Jannik Hansen\hanseja01,30,RW,TOT,43,8,12,20,2,34,2.2,8,0,0,1,12,0,0,73,11.0,690,16:03,15,43,0,1,0.0
343,Lauri Korpikoski\korpila01,30,LW,TOT,69,8,12,20,5,10,1.8,8,0,0,0,11,0,1,108,7.4,856,12:24,36,37,0,7,0.0
344,Kevin Labanc\labanke01,21,RW,SJS,55,8,12,20,9,22,2.3,8,0,0,2,10,2,0,70,11.4,752,13:41,14,19,2,2,50.0
345,Oscar Lindberg\lindbos02,25,C,NYR,65,8,12,20,2,32,1.8,8,0,0,1,11,1,0,86,9.3,704,10:50,36,94,299,276,52.0
346,Jakob Chychrun\chychja01,18,D,ARI,68,7,13,20,-14,47,3.0,6,1,0,0,12,1,0,86,8.1,1133,16:40,99,109,0,0,
347,Hampus Lindholm\lindhha01,23,D,ANA,66,6,14,20,13,36,5.6,5,1,0,2,10,4,0,94,6.4,1482,22:27,94,98,2,0,100.0
348,Josh Morrissey\morrijo04,21,D,WPG,82,6,14,20,6,38,3.7,5,1,0,3,14,0,0,99,6.1,1598,19:29,139,145,0,0,
349,Cal Clutterbuck\cluttca01,29,RW,NYI,66,5,15,20,2,28,1.2,5,0,0,1,14,1,0,115,4.3,924,14:00,25,222,3,5,37.5
350,Thomas Hickey\hicketh01,27,D,NYI,76,4,16,20,-1,35,3.2,4,0,0,2,13,3,0,87,4.6,1331,17:31,103,89,0,0,
351,Jake McCabe\mccabja01,23,D,BUF,76,3,17,20,-7,26,4.0,2,1,0,1,14,3,0,79,3.8,1574,20:42,114,73,0,0,
352,Brett Pesce\pescebr01,22,D,CAR,82,2,18,20,23,20,6.5,2,0,0,0,16,2,0,109,1.8,1739,21:12,148,57,0,0,
353,Joel Armia\armiajo01,23,RW,WPG,57,10,9,19,-8,20,1.2,6,0,4,1,7,2,0,111,9.0,863,15:08,30,68,3,4,42.9
354,Matt Read\readma01,30,RW,PHI,63,10,9,19,3,8,2.0,7,2,1,2,9,0,0,92,10.9,869,13:48,32,95,5,10,33.3
355,Beau Bennett\bennebe01,25,RW,NJD,65,8,11,19,-3,20,1.7,7,1,0,1,10,1,0,101,7.9,881,13:33,13,76,3,13,18.8
356,Tom Wilson\wilsoto01,22,RW,WSH,82,7,12,19,9,133,1.3,7,0,0,0,12,0,0,95,7.4,1060,12:56,44,239,3,7,30.0
357,Trevor Daley\daleytr01,33,D,PIT,56,5,14,19,7,37,3.2,4,1,0,0,10,3,1,84,6.0,1141,20:23,83,29,0,0,
358,Ben Hutton\huttobe01,23,D,VAN,71,5,14,19,-22,31,2.9,3,2,0,1,5,9,0,130,3.8,1455,20:30,106,46,0,0,
359,Adam Larsson\larssad01,24,D,EDM,79,4,15,19,21,55,5.5,4,0,0,0,15,0,0,85,4.7,1592,20:09,160,253,0,0,
360,Cody Franson\fransco01,29,D,BUF,68,3,16,19,-5,34,3.6,2,1,0,0,15,1,0,93,3.2,1257,18:29,68,87,0,0,
361,Matt Hunwick\hunwima01,31,D,TOR,72,1,18,19,8,18,3.6,1,0,0,0,18,0,0,73,1.4,1294,17:59,90,91,0,0,
362,Rene Bourque\bourqre01,35,RW,COL,65,12,6,18,-19,56,1.2,10,2,0,2,6,0,0,111,10.8,906,13:57,26,75,0,5,0.0
363,Scottie Upshall\upshasc01,33,RW,STL,73,10,8,18,-1,45,1.8,8,0,2,1,8,0,0,85,11.8,802,10:59,21,99,3,9,25.0
364,Frank Vatrano\vatrafr01,22,C,BOS,44,10,8,18,-3,14,2.2,6,4,0,1,7,1,0,116,8.6,593,13:29,16,51,2,5,28.6
365,Brandon Pirri\pirribr01,25,RW,NYR,60,8,10,18,-8,25,1.1,3,5,0,3,6,4,0,96,8.3,737,12:17,20,41,140,103,57.6
366,Patrick Sharp\sharppa01,35,LW,DAL,48,8,10,18,-22,31,0.6,6,1,1,0,10,0,0,146,5.5,765,15:57,24,24,29,32,47.5
367,Drake Caggiula\caggidr01,22,LW,EDM,60,7,11,18,3,16,1.6,5,2,0,2,7,3,1,93,7.5,794,13:14,19,97,117,167,41.2
368,Michael Del Zotto\delzomi01,26,D,PHI,51,6,12,18,-5,28,3.5,6,0,0,0,10,1,1,92,6.5,995,19:30,85,173,0,1,0.0
369,Esa Lindell\lindees01,22,D,DAL,73,6,12,18,8,22,4.2,6,0,0,2,10,2,0,99,6.1,1597,21:52,119,93,0,1,0.0
370,Francois Beauchemin\beaucfr01,36,D,COL,81,5,13,18,-14,32,3.7,5,0,0,1,10,3,0,132,3.8,1743,21:31,156,73,0,0,
