Shot #,Player,TEAM,Opponent,Date,Art x,Art y,Outcome,Assist,Type,Play,State,Angle,Distance,x,y
95,Larin,OCSC,RSL,42435,9.1,28.6,1,pass,right,open,-2,27.99625799,9.714422268,9.1,21.4
96,Winter,OCSC,RSL,42435,6.2,26.7,1,pass,right,open,-1,43.00261814,6.378871374,6.2,23.3
97,Villa,NYCFC,CHI,42435,8.5,32,0,other,right,open,0,21.10957609,10.8853112,8.5,18
98,McNamara,NYCFC,CHI,42435,15.7,33.5,1,self,right,open,0,14.66452574,17.75894141,15.7,16.5
99,Taylor,NYCFC,CHI,42435,5.6,39.4,0,self,right,open,1,7.15541521,15.26433752,5.6,10.6
100,Shelton,NYCFC,CHI,42435,13.8,22.6,0,pass,left,open,1,20.74672148,14.04279175,13.8,27.4
101,Pirlo,NYCFC,CHI,42435,20.3,13.2,0,self,left,set-piece,0,10.97022254,23.58156059,20.3,36.8
102,Taylor,NYCFC,CHI,42435,8.8,22.6,1,other,left,open,0,30.90640342,9.176055798,8.8,27.4
103,Shelton,NYCFC,CHI,42435,3.2,21.6,1,self,right,open,1,47.8912696,4.816637832,3.2,28.4
104,Matarrita,NYCFC,CHI,42435,14.5,36.6,0,self,left,open,2,12.57366465,18.44478246,14.5,13.4
105,Diskerud,NYCFC,CHI,42435,7.7,20.6,1,cross,right,open,0,29.11614627,8.969392399,7.7,29.4
106,Villa,NYCFC,CHI,42435,9.2,24.8,0,pass,right,open,1,31.54838705,9.208691547,9.2,25.2
107,Pirlo,NYCFC,CHI,42435,15.6,22.8,0,other,right,open,1,18.57152968,15.78353573,15.6,27.2
108,Accam,CHI,NYCFC,42435,1.9,31.2,0,self,left,open,0,15.6404398,6.293647591,1.9,18.8
109,Cocis,CHI,NYCFC,42435,9.9,27.2,1,pass,right,open,-1,28.18007929,10.1,9.9,22.8
110,Cocis,CHI,NYCFC,42435,13.4,35.9,0,self,right,open,0,13.43879676,17.14788617,13.4,14.1
111,Souza,CHI,NYCFC,42435,6.8,33.3,0,self,left,open,-2,18.07096411,10.57591604,6.8,16.7
112,Accam,CHI,NYCFC,42435,6.4,31,0,self,right,open,-2,25.3644172,8.637129153,6.4,19
113,Accam,CHI,NYCFC,42435,11,33.5,0,pass,right,open,-2,17.05176427,13.78005806,11,16.5
114,Igboananike,CHI,NYCFC,42435,6.9,24.9,1,cross,right,open,-2,41.28702826,6.90651866,6.9,25.1
